qid;sexp;query
0;(VALUE (37201 (MSR A019380 (WHERE (DIM TC 1992JJ00) (DIM GC GM0361)))));hoeveel kinderen waren het 3e kind in het gezin in 1992 in Alkmaar
0;(VALUE (37201 (MSR A019380 (WHERE (DIM TC 1992JJ00) (DIM GC GM0361)))));hoeveel kinderen waren het derde kind in het gezin in 1992 in Alkmaar?
1;(VALUE (37201 (MSR D000128_8 (WHERE (DIM GC GM1723)))));aantal kinderen geboren in Alphen-Chaam
1;(VALUE (37201 (MSR D000128_8 (WHERE (DIM GC GM1723)))));geboortes in Alphen-Chaam
2;(VALUE (37201 (MSR D000128_6 (WHERE (DIM TC 1992JJ00)))));aantal kinderen geboren in 1992
2;(VALUE (37201 (MSR D000128_6 (WHERE (DIM TC 1992JJ00)))));aantal geboortes in 1992
2;(VALUE (37201 (MSR D000128_6 (WHERE (DIM TC 1992JJ00)))));hoeveel geborenen 1992
3;(VALUE (37201 (MSR D000128_6 (WHERE (DIM GC PV29) (DIM TC 2015JJ00)))));kinderen geboren in zeeland 2015
3;(VALUE (37201 (MSR D000128_6 (WHERE (DIM GC PV29) (DIM TC 2015JJ00)))));hoeveel geboortes in 2015 in zeeland
4;(VALUE (37201 (MSR 70900 (WHERE (DIM GC GM0060) (DIM TC 2009JJ00)))));40-jarige moeders op Ameland 2009
5;(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2003JJ00)))));geboren meisjes 2003
5;(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2003JJ00)))));aantal meisjes geboren in 2003
6;(VALUE (37201 (MSR 21100 (WHERE (DIM GC GM0888) (DIM TC 2016JJ00)))));moeders ouder dan 45 in Beek in 2016
6;(VALUE (37201 (MSR 21100 (WHERE (DIM GC GM0888) (DIM TC 2016JJ00)))));48-jarige moeders in Beek (Limburg) in 2016
7;(VALUE (37201 (MSR A019381 (WHERE (DIM TC 2016JJ00) (DIM GC PV24)))));geboorte 4e of meer kind in Flevoland 2016
7;(VALUE (37201 (MSR A019381 (WHERE (DIM TC 2016JJ00) (DIM GC PV24)))));geboortes vierde kind in het gezin Flevoland 2016
8;(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0060)))));vruchtbaarheidscijfer ameland
8;(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0060)))));gestandaardiseerd vruchtbaarheidscijfer op ameland
9;(VALUE (37201 (MSR D000128_2 (WHERE (DIM TC 2014JJ00)))));aantal geboren kinderen per inwoner 2014
9;(VALUE (37201 (MSR D000128_2 (WHERE (DIM TC 2014JJ00)))));relatief aantal geboortes 2014
10;(VALUE (37201 (MSR 70600 (WHERE (DIM GC GM0739)))));26-jarige moeders in Aarle-Rixtel
10;(VALUE (37201 (MSR 70600 (WHERE (DIM GC GM0739)))));28-jarige moeders in Aarle Rixtel
11;(VALUE (37201 (MSR A019379 (WHERE (DIM GC GM0206)))));aantal 2e kinderen in Bemmel
12;(VALUE (37201 (MSR 1010 (WHERE (DIM TC 1988JJ00)))));geboortes bij ongehuwde moeders in 1988
13;(VALUE (37201 (MSR D000128_1 (WHERE (DIM GC CR40)))));geboortes in de corop Flevoland
13;(VALUE (37201 (MSR D000128_1 (WHERE (DIM GC CR40)))));geboren kinderen in Flevoland
14;(VALUE (37201 (MSR 3000 (WHERE (DIM TC 2018JJ00) (DIM GC GM0889)))));aantal geboren jongens in Beesel 2018
14;(VALUE (37201 (MSR 3000 (WHERE (DIM TC 2018JJ00) (DIM GC GM0889)))));geboortes jongetjes Beesel in 2018
15;(VALUE (37201 (MSR A019380 (WHERE (DIM GC GM0142)))));aantal kinderen 3e kind in het gezin in Ambt Delden
15;(VALUE (37201 (MSR A019380 (WHERE (DIM GC GM0142)))));aantal kinderen derde kind in het gezin in Ambt Delden
16;(VALUE (37201 (MSR D000128_4 (WHERE (DIM TC 1992JJ00) (DIM GC PV31)))));aantal geboortes in Limburg in 1992
16;(VALUE (37201 (MSR D000128_4 (WHERE (DIM TC 1992JJ00) (DIM GC PV31)))));hoeveel kinderen zijn er in 1992 in Limburg geboren
17;(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2007JJ00) (DIM GC PV31)))));hoeveel meisjes zijn er in Limburg geboren in 2007
17;(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2007JJ00) (DIM GC PV31)))));aantal geboortes meisjes 2007 Limburg
18;(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0480) (DIM TC 1996JJ00)))));vruchtbaarheidscijfer in Ter Aar 1996
18;(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0480) (DIM TC 1996JJ00)))));gestandaardiseerd vruchtbaarheidscijfer in 1996 in Ter Aar
19;(VALUE (37201 (MSR 70700 (WHERE (DIM TC 2010JJ00) (DIM GC LD02)))));aantal 30 jarige moeders in oost nederland in 2010
19;(VALUE (37201 (MSR 70700 (WHERE (DIM TC 2010JJ00) (DIM GC LD02)))));aantal moeders tussen de 30 en 35 in oost-nederland 2010
20;(VALUE (37296ned (MSR A008188_1 (WHERE (DIM TC 2010JJ00)))));Overige Westerse migranten in 2010
21;(VALUE (37296ned (MSR D000110_2 (WHERE (DIM TC 1984JJ00)))));demografische druk in 1984
21;(VALUE (37296ned (MSR D000110_2 (WHERE (DIM TC 1984JJ00)))));wat was de totale demografische druk in 1984
22;(VALUE (37296ned (MSR A008187_3 (WHERE (DIM TC 2005JJ00)))));2e generatie niet westerse migranten in 2005
23;(VALUE (37296ned (MSR 70501_1 (WHERE (DIM TC 1973JJ00)))));aantal twintigers in 1973
23;(VALUE (37296ned (MSR 70501_1 (WHERE (DIM TC 1973JJ00)))));hoeveel dertigers waren er in 1973
24;(VALUE (37296ned (MSR H008766_2 (WHERE (DIM TC 2019JJ00)))));hoeveel eerste generatie turken waren er in 2019
25;(VALUE (37296ned (MSR 1050 (WHERE (DIM TC 2004JJ00)))));aantal verweduwde personen in 2004
25;(VALUE (37296ned (MSR 1050 (WHERE (DIM TC 2004JJ00)))));hoeveel weduwen waren er in 2004
26;(VALUE (37296ned (MSR H008766_2 (WHERE (DIM TC 2008JJ00)))));hoeveel 1e generatie turken in 2008
26;(VALUE (37296ned (MSR H008766_2 (WHERE (DIM TC 2008JJ00)))));aantal eerste generatie turken in 2008
27;(VALUE (37296ned (MSR 4000_2 (WHERE (DIM TC 2016JJ00)))));wat was de gemiddelde leeftijd van vrouwen in 2016
27;(VALUE (37296ned (MSR 4000_2 (WHERE (DIM TC 2016JJ00)))));leeftijd vrouwen 2016
28;(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2014JJ00)))));gemiddelde huishoudensgrootte in 2014
28;(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2014JJ00)))));hoe groot was een gezin in 2014
29;(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2015JJ00)))));grootte van huishouden in 2015
29;(VALUE (37296ned (MSR M000114 (WHERE (DIM TC 2015JJ00)))));hoeveel personen per huishouden in 2015
30;(VALUE (37296ned (MSR 53950_2 (WHERE (DIM TC 2018JJ00)))));hoeveel bejaarden in 2018
30;(VALUE (37296ned (MSR 53950_2 (WHERE (DIM TC 2018JJ00)))));welk percentage was senioren in 2018
30;(VALUE (37296ned (MSR 53950_2 (WHERE (DIM TC 2018JJ00)))));relatief aantal 65 plussers in 2018
31;(VALUE (37296ned (MSR M000244_1 (WHERE (DIM TC 2008JJ00)))));migratie saldo 2008
31;(VALUE (37296ned (MSR M000244_1 (WHERE (DIM TC 2008JJ00)))));migratiesaldo 2008
32;(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1995JJ00)))));bevolkingsdichtheid 1995
32;(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1995JJ00)))));wat was de dichtheid van de bevolking in 1995
33;(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 2006JJ00)))));relatief migratiesaldo in 2006
33;(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 2006JJ00)))));relatief migratie saldo 2006
34;(VALUE (37296ned (MSR M001497 (WHERE (DIM TC 2016JJ00)))));aantal overige correcties in 2016
35;(VALUE (37296ned (MSR D000116 (WHERE (DIM TC 2019JJ00)))));grijze druk op de bevolking in 2019
36;(VALUE (37296ned (MSR M000167 (WHERE (DIM TC 1976JJ00)))));aantal immigranten in 1976
36;(VALUE (37296ned (MSR M000167 (WHERE (DIM TC 1976JJ00)))));hoeveel immigranten waren er in 1976
37;(VALUE (37296ned (MSR 1016010 (WHERE (DIM TC 1976JJ00)))));aantal huishoudens van meerdere personen in 1976
38;(VALUE (37296ned (MSR 41400_1 (WHERE (DIM TC 2020JJ00)))));aantal jongeren 2020
38;(VALUE (37296ned (MSR 41400_1 (WHERE (DIM TC 2020JJ00)))));hoeveel tieners in 2020
38;(VALUE (37296ned (MSR 41400_1 (WHERE (DIM TC 2020JJ00)))));personen jonger dan 20 in 2020
39;(VALUE (37296ned (MSR M000101_2 (WHERE (DIM TC 1988JJ00)))));wat was de totale bevolkingsgroei in 1988
39;(VALUE (37296ned (MSR M000101_2 (WHERE (DIM TC 1988JJ00)))));bevolkingsgroei 1988
40;(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1994JJ00)))));bevolkingsdichtheid 1994
40;(VALUE (37296ned (MSR M000100 (WHERE (DIM TC 1994JJ00)))));wat was de bevolkingsdichtheid in 1994
41;(VALUE (37296ned (MSR A008188_1 (WHERE (DIM TC 2003JJ00)))));overig westerse migranten in 2003
42;(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00)))));migranten uit spanje in 2010
42;(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00)))));migranten uit italië in 2010
42;(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00)))));hoeveel migranten uit griekenland in 2010
42;(VALUE (37296ned (MSR H007936_1 (WHERE (DIM TC 2010JJ00)))));hoeveel migranten uit portugal in 2010
43;(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 1986JJ00)))));relatief migratiesaldo in 1986
43;(VALUE (37296ned (MSR M000244_2 (WHERE (DIM TC 1986JJ00)))));relatief migratie saldo 1986
44;(VALUE (37296ned (MSR H008766_1 (WHERE (DIM TC 2010JJ00)))));aantal turkse migranten in 2010
45;(VALUE (37296ned (MSR 53950_1 (WHERE (DIM TC 1980JJ00)))));aantal 65-plussers in 1980
45;(VALUE (37296ned (MSR 53950_1 (WHERE (DIM TC 1980JJ00)))));aantal 70-jarigen in 1980
46;(VALUE (37296ned (MSR 2013357_2 (WHERE (DIM TC 2020JJ00)))));hoeveel 2e generatie migranten in 2020
46;(VALUE (37296ned (MSR 2013357_2 (WHERE (DIM TC 2020JJ00)))));hoeveel tweede generatie migranten waren er in 2020
47;(VALUE (37296ned (MSR T001038_2 (WHERE (DIM TC 1966JJ00)))));totale bevolking in 1966
47;(VALUE (37296ned (MSR T001038_2 (WHERE (DIM TC 1966JJ00)))));grootte van de bevolking in 1966
48;(VALUE (37296ned (MSR A008188_3 (WHERE (DIM TC 2020JJ00)))));aantal overig westerse migranten van de 2e generatie in 2020
49;(VALUE (37296ned (MSR A008187_1 (WHERE (DIM TC 2018JJ00)))));aantal overig niet westerse migranten in 2018
49;(VALUE (37296ned (MSR A008187_1 (WHERE (DIM TC 2018JJ00)))));aantal overig niet-westerse migranten in 2018
50;(VALUE (37422ned (MSR 3000_2 (WHERE (DIM TC 1970JJ00)))));aantal geboren jongens ten opzichte van aantal meisjes in 1970
50;(VALUE (37422ned (MSR 3000_2 (WHERE (DIM TC 1970JJ00)))));verhouding geboortes tussen jongetjes en meisjes 1970
